Name,Formula,Molecular Weight,RT [min],Area (Max.),sample,area,count,RT,Class,FA,FA Group Key,TC,DB,Batch,StandardsName,Conc,log.conc,slope,intercept,adj.r.squared,conc_mgmL
DG(18:1-18:1),C39 H72 O5,620.53639,15.437,91630618.2585435,Area: standard14B2.raw (F22),793122.187365385,19,15.418,DG,18:1_18:1,36_2,36,2,B2,14,1,0,1.3351249758514996,5.464299097679578,0.8433461549480881,1.3851977451377107
SM(35_1),C40 H81 N2 O6 P,716.5815,10.127,13983290.9205087,Area: standard14B2.raw (F22),63378.090670056,21,9.98,SM,18:1_17:0,35_1,35,1,B2,14,1,0,1.3012163894517386,4.904167365673177,0.9686695309188228,0.9244432846032633
PE(16:0_18:1),C39 H76 N O8 P,717.52932,11.847,170714421.761119,Area: standard14B2.raw (F22),1258513.82833569,32,11.847,PE,16:0_18:1,34_1,34,1,B2,14,1,0,1.1014497904278249,6.106339668906492,0.9856622053798972,0.9941326030814287
PE(18:0_18:1),C41 H80 N O7 P,729.56465,15.276,249056022.187329,Area: standard14B2.raw (F22),1891295.48893075,19,15.36,PEp,18:0_18:1,36_1,36,1,B2,14,1,0,1.2001129425328938,6.357351219803734,0.9917672842791492,0.9350516220039077
PS(34:0_17:0),C40 H78 N O10 P,763.53502,12.132,95165866.063891,Area: standard14B2.raw (F22),703460.734215616,26,12.03,PS,17:0_17:0,34_0,34,0,B2,14,1,0,1.2915151854022864,5.825843343862908,0.9703827288242113,1.0167049819700362
PG(18:0_18:1),C42 H81 O10 P,776.55601,12.534,29699714.7281424,Area: standard14B2.raw (F22),254672.756004394,24,12.404,PG,18:1_18:0,36_1,36,1,B2,14,1,0,1.0755360545477224,5.401784884925321,0.9555678192357304,1.0039104268806993
PC(18:1_18:1),C44 H84 N O8 P,785.58981000000006,11.277,998620005.120719,Area: standard14B2.raw (F22),8966273.76414117,20,11.462,PC,18:1_18:1,36_2,36,2,B2,14,1,0,1.0894256306157475,6.926922552035866,0.9858610700281698,1.0238609454433343
PI(34:2),C43 H79 O13 P,834.52455,8.354,88157750.9432684,Area: standard14B2.raw (F22),717121.838522637,29,8.31,PI,16:0_18:2,34_2,34,2,B2,14,1,0,1.1555604689652457,5.798524649989888,0.9802943951471738,1.0506256221777484
TG(18:1_18:1_18:1) +NH4,C57 H107 N O6,901.80726,21.343,310832446.923526,Area: standard14B2.raw (F22),6806223.22300678,24,21.312,TG,18:1_18:1_18:1,54_3,54,3,B2,14,1,0,0.9082195262353197,6.844702757262392,0.9971344712250704,0.9870953132653792
FA(18:1),C18 H34 O2,282.25545,4.875,699159.20364585,Area: standard15B2.raw (F26),26574.4077805022,16,4.84,FA,18:01,18_1,18,1,B2,15,10,1,1.7586430102078283,2.7536248542674304,0.9644640678545562,2.5858976878165616
LPC(18:1),C26 H52 N O7 P,521.3465,3.238,414092750.584583,Area: standard15B2.raw (F26),42382061.8566493,32,3.061,LPC,18:01,18_1,18,1,B2,15,10,1,1.1514973857308464,6.473710089244089,0.9351493829908879,2.722947180326411
Cer(d18:1_17:0),C35 H69 N O3,551.52663,12.306,38110154.6493222,Area: standard15B2.raw (F26),1767322.33914423,24,12.21,Cer,18:1_17:0,35_1,35,1,B2,15,10,1,1.388959924498786,5.075097075453331,0.9746953525059584,2.325544705059691
DG(18:1-18:1),C39 H72 O5,620.53639,15.437,91630618.2585435,Area: standard15B2.raw (F26),10821162.9947154,19,15.418,DG,18:1_18:1,36_2,36,2,B2,15,10,1,1.3351249758514996,5.464299097679578,0.8433461549480881,3.241061938943351
SM(35_1),C40 H81 N2 O6 P,716.5815,10.127,13983290.9205087,Area: standard15B2.raw (F26),1191266.8184256,21,9.98,SM,18:1_17:0,35_1,35,1,B2,15,10,1,1.3012163894517386,4.904167365673177,0.9686695309188228,2.461015386703881
PE(16:0_18:1),C39 H76 N O8 P,717.52932,11.847,170714421.761119,Area: standard15B2.raw (F26),12485247.8129339,32,11.847,PE,16:0_18:1,34_1,34,1,B2,15,10,1,1.1014497904278249,6.106339668906492,0.9856622053798972,2.45681936230301
